theta,phi,E_opt_ortho,E_opt_meta,E_opt_para,g_norm_ortho,g_norm_meta,g_norm_para
18.0,324.0,-3010.3533555208305,-3010.358675208233,-3010.347932575129,0.0012339056827184996,0.0014757678776678319,0.0019798637810002576
18.0,342.0,-3010.353053427644,-3010.356577173384,-3010.3465486956616,0.0004124975428099857,0.001704966761361687,0.0017023469916169118
27.0,0.0,-3010.3502265859033,-3010.348841282589,-3010.3376248648574,0.0007766368372293689,0.0002677542514801296,0.0010855565318689106
27.0,18.0,-3010.349246770476,-3010.346260026103,-3010.338289444658,0.000841919625888071,0.0019182182369272779,0.0007505718496900317
27.0,36.0,-3010.347479218547,-3010.3442887035776,-3010.340195354659,0.001706483316509452,0.0016173779463089307,0.000751092428163635
27.0,54.0,-3010.3452535606425,-3010.3434750571546,-3010.343647663234,0.003075288594106088,0.00236350885930539,0.001167056583085302
27.0,72.0,-3010.3429218187944,-3010.343540987779,-3010.347475994675,0.005218841184381024,0.002163837095462914,0.0009122165591475907
27.0,90.0,-3010.340897828158,-3010.344584927587,-3010.3506332363986,0.00839626635572806,3.6642029554231464e-05,0.0016039365731161908
27.0,108.0,-3010.3398244674477,-3010.346573355478,-3010.352642145863,0.006801291209185453,6.37745083518526e-05,0.001180314673869376
27.0,126.0,-3010.339588493474,-3010.3490723542136,-3010.3538016578045,0.005029191526695679,0.00010006554132207926,0.0013189788028320421
27.0,144.0,-3010.3400217649005,-3010.3518318746756,-3010.354249307607,0.004243592161615928,0.00018328198297747064,0.0015986849827060218
27.0,162.0,-3010.341630455868,-3010.3544249348533,-3010.354222862132,0.0023420668351680453,0.00032280016584811393,0.0018457157436456704
27.0,180.0,-3010.3438381608767,-3010.3563473321815,-3010.354067400554,0.0006645330626356259,0.0006032852267281922,0.001645344515445929
27.0,198.0,-3010.3461526357232,-3010.357545468869,-3010.3539151965506,0.0005156265923593048,0.0016283147554290137,0.0002270945012825588
27.0,216.0,-3010.3482482526497,-3010.3583004381326,-3010.353708879681,0.000444153075100664,0.0029995666502248657,0.0005949048294869966
27.0,234.0,-3010.349577221586,-3010.358832319887,-3010.353306314756,0.0035417846771209644,0.001066271159865645,0.0003761261097695557
