     Theta        Phi           Ex           Ey           Ez              Nitro_E
    39.512    114.146    -0.026027     0.058057     0.077149    -436.547651860141
    39.512    122.927    -0.034584     0.053404     0.077149    -436.548107057639
    39.512    131.707    -0.042331     0.047499     0.077149    -436.548590713558
    39.512    140.488    -0.049085     0.040480     0.077149    -436.549040919348
    39.512    149.268    -0.054689     0.032513     0.077149    -436.549387183335
    39.512    158.049    -0.059012     0.023784     0.077149    -436.549560788109
    39.512    166.829    -0.061951     0.014497     0.077149    -436.549505048458
    39.512    175.610    -0.063438     0.004870     0.077149    -436.549182941287
    39.512    184.390    -0.063438    -0.004870     0.077149    -436.548581482908
    39.512    193.171    -0.061951    -0.014497     0.077149    -436.547713598113
    39.512    201.951    -0.059012    -0.023784     0.077149    -436.546618284082
    39.512    210.732    -0.054689    -0.032513     0.077149    -436.545358891976
    39.512    219.512    -0.049085    -0.040480     0.077149    -436.544018411408
    39.512    228.293    -0.042331    -0.047499     0.077149    -436.542690844437
    39.512    237.073    -0.034584    -0.053404     0.077149    -436.541469388162
    39.512    245.854    -0.026027    -0.058057     0.077149    -436.540434389143
    39.512    254.634    -0.016859    -0.061350     0.077149    -436.539645251580
    39.512    263.415    -0.007297    -0.063204     0.077149    -436.539139116031
    39.512    272.195     0.002437    -0.063578     0.077149    -436.538935248138
    39.512    280.976     0.012113    -0.062460     0.077149    -436.539040329515
    39.512    289.756     0.021506    -0.059879     0.077149    -436.539449585141
    39.512    298.537     0.030395    -0.055895     0.077149    -436.540142520697
    39.512    307.317     0.038571    -0.050600     0.077149    -436.541076931200
    39.512    316.098     0.045843    -0.044119     0.077149    -436.542186770790
    39.512    324.878     0.052040    -0.036604     0.077149    -436.543387076180
    39.512    333.659     0.057018    -0.028231     0.077149    -436.544584789722
    39.512    342.439     0.060659    -0.019197     0.077149    -436.545691478786
