     Theta        Phi           Ex           Ey           Ez               Para_E               Meta_E
    68.000     89.000     0.001618     0.092704     0.037461   -3010.300277590167   -3010.299533025487
    69.000     69.000     0.033457     0.087157     0.035837   -3010.298415566219   -3010.297204435400
    69.000     70.000     0.031930     0.087728     0.035837   -3010.298443023104   -3010.297148698937
    69.000     71.000     0.030394     0.088272     0.035837   -3010.298474768741   -3010.297108781273
    69.000     72.000     0.028849     0.088789     0.035837   -3010.298510816690   -3010.297084775539
    69.000     73.000     0.027295     0.089279     0.035837   -3010.298551175602   -3010.297076756976
    69.000     74.000     0.025733     0.089742     0.035837   -3010.298595849072   -3010.297084782656
    69.000     75.000     0.024163     0.090177     0.035837   -3010.298644835520   -3010.297108891284
    69.000     76.000     0.022585     0.090585     0.035837   -3010.298698128064   -3010.297149103006
    69.000     77.000     0.021001     0.090965     0.035837   -3010.298755714422   -3010.297205419226
    69.000     78.000     0.019410     0.091318     0.035837   -3010.298817576801   -3010.297277822420
    69.000     79.000     0.017814     0.091643     0.035837   -3010.298883691865   -3010.297366276034
    69.000     80.000     0.016211     0.091940     0.035837   -3010.298954030658   -3010.297470724353
    69.000     81.000     0.014604     0.092209     0.035837   -3010.299028558622   -3010.297591092403
    69.000     82.000     0.012993     0.092449     0.035837   -3010.299107235623   -3010.297727285909
    69.000     83.000     0.011377     0.092662     0.035837   -3010.299190015980   -3010.297879191237
    69.000     84.000     0.009759     0.092847     0.035837   -3010.299276848624   -3010.298046675429
    69.000     85.000     0.008137     0.093003     0.035837   -3010.299367677187   -3010.298229586217
    69.000     86.000     0.006512     0.093131     0.035837   -3010.299462440196   -3010.298427752124
    69.000     87.000     0.004886     0.093230     0.035837   -3010.299561071303   -3010.298640982559
    69.000     88.000     0.003258     0.093301     0.035837   -3010.299663499501   -3010.298869067986
    69.000     89.000     0.001629     0.093344     0.035837   -3010.299769649464   -3010.299111780123
    70.000     69.000     0.033676     0.087728     0.034202   -3010.298016403045   -3010.296801720544
    70.000     70.000     0.032139     0.088302     0.034202   -3010.298039464720   -3010.296745000143
    70.000     71.000     0.030593     0.088850     0.034202   -3010.298066801112   -3010.296704258212
    70.000     72.000     0.029038     0.089370     0.034202   -3010.298098427053   -3010.296679588759
    70.000     73.000     0.027474     0.089863     0.034202   -3010.298134352548   -3010.296671067609
    70.000     74.000     0.025901     0.090329     0.034202   -3010.298174582595   -3010.296678752133
    70.000     75.000     0.024321     0.090767     0.034202   -3010.298219117105   -3010.296702681037
    70.000     76.000     0.022733     0.091178     0.034202   -3010.298267950745   -3010.296742874157
    70.000     77.000     0.021138     0.091561     0.034202   -3010.298321072852   -3010.296799332283
    70.000     78.000     0.019537     0.091916     0.034202   -3010.298378467288   -3010.296872036999
    70.000     79.000     0.017930     0.092243     0.034202   -3010.298440112427   -3010.296960950527
    70.000     80.000     0.016318     0.092542     0.034202   -3010.298505981093   -3010.297066015659
    70.000     81.000     0.014700     0.092812     0.034202   -3010.298576040548   -3010.297187155588
    70.000     82.000     0.013078     0.093055     0.034202   -3010.298650252512   -3010.297324273912
